SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
13.91,-0.329086,-0.359527,9.948749,-0.027163,0.013623,0.147947,0.999708,-0.01873,0.015191,-0.001443
13.92,-0.341951,-0.341671,9.918212,-0.040098,0.030556,0.117169,0.999708,-0.018726,0.015217,-0.001441
13.93,-0.31194,-0.365446,9.997571,-0.006858,0.008207,0.196417,0.999708,-0.018676,0.015256,-0.001454
13.94,-0.311327,-0.359728,9.936536,-0.008019,0.011246,0.135221,0.999708,-0.018646,0.015272,-0.001474
13.95,-0.311631,-0.35348,9.93651,-0.007363,0.018465,0.134971,0.999707,-0.01867,0.015308,-0.001437
13.96,-0.348091,-0.39647,9.985355,-0.041907,-0.023279,0.186481,0.999707,-0.018652,0.015338,-0.001437
13.97,-0.348389,-0.390089,10.003565,-0.041278,-0.015975,0.204443,0.999707,-0.018654,0.01536,-0.001449
13.98,-0.329746,-0.372263,9.973141,-0.022949,0.000698,0.172819,0.999707,-0.018658,0.015386,-0.00143
13.99,-0.335937,-0.384261,9.96696,-0.029723,-0.012056,0.167282,0.999707,-0.01864,0.015383,-0.001453
14,-0.329688,-0.353689,9.89991,-0.024806,0.015456,0.098981,0.999707,-0.018616,0.015404,-0.001465
14.01,-0.317527,-0.395833,9.954848,-0.01111,-0.025157,0.155048,0.999707,-0.018592,0.015411,-0.001484
14.02,-0.341287,-0.378291,9.991477,-0.03494,-0.006053,0.191709,0.999708,-0.018588,0.01537,-0.001468
14.03,-0.316451,-0.371987,9.918217,-0.011564,-0.002695,0.11754,0.999708,-0.018582,0.015383,-0.00149
14.04,-0.335537,-0.390468,9.930431,-0.030599,-0.020796,0.131012,0.999708,-0.018574,0.015379,-0.001506
14.05,-0.341155,-0.383579,9.924354,-0.037086,-0.015757,0.124853,0.99971,-0.018516,0.015354,-0.001518
14.06,-0.341669,-0.378481,9.96094,-0.036266,-0.008294,0.161224,0.999709,-0.018532,0.015351,-0.001498
14.07,-0.335453,-0.372821,9.973039,-0.029464,-0.001166,0.17291,0.999708,-0.018571,0.015357,-0.001507
14.08,-0.335651,-0.366205,9.960939,-0.029876,0.004831,0.160585,0.999708,-0.018579,0.015364,-0.001508
14.09,-0.329164,-0.365964,9.942654,-0.024979,0.003515,0.142111,0.999709,-0.018553,0.015333,-0.001543
14.1,-0.341516,-0.359712,9.997582,-0.03582,0.011175,0.197121,0.99971,-0.018522,0.015315,-0.001522
14.11,-0.322673,-0.371338,9.930436,-0.019314,-0.003086,0.129907,0.99971,-0.018508,0.015302,-0.00154
14.12,-0.34783,-0.383846,9.893828,-0.045386,-0.018476,0.09457,0.999711,-0.018448,0.015306,-0.00156
14.13,-0.32926,-0.352761,9.936528,-0.025826,0.015199,0.135506,0.999711,-0.018466,0.015293,-0.001574
14.14,-0.311132,-0.378557,9.94873,-0.007408,-0.009719,0.148095,0.999711,-0.018488,0.015289,-0.001565
14.15,-0.329572,-0.37279,9.967029,-0.024091,-0.002893,0.166725,0.99971,-0.018506,0.015326,-0.001541
14.16,-0.3412,-0.396421,9.979281,-0.037261,-0.026848,0.180185,0.999711,-0.018484,0.015277,-0.001537
14.17,-0.340517,-0.390234,9.930417,-0.037646,-0.021453,0.131132,0.999711,-0.01851,0.015275,-0.001588
14.18,-0.34171,-0.384354,9.954843,-0.037983,-0.015186,0.155348,0.999711,-0.018502,0.015277,-0.001562
