SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Acc_X,Acc_Y,Acc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0.566666667,-0.007553,-0.002975,0.004349,-0.007053,-0.006774,0.148239,0.044412,-0.014276,9.960822,0.999959,0.001911,0.003013,0.008293
0.575,-0.003662,-0.008926,0.010071,0.075187,-0.044145,0.199236,-0.043573,-0.000151,10.012209,0.999959,0.001896,0.002976,0.008334
0.583333333,0.008926,-0.01236,0.007095,-0.028071,0.023455,0.060523,0.074436,-0.036599,9.87293,0.999959,0.001933,0.002925,0.008365
0.591666667,0.000229,-0.005493,0.000916,-0.012775,0.018842,0.104519,0.058821,-0.036612,9.916991,0.999959,0.001934,0.002902,0.00837
0.6,0.000229,-0.002975,0.00824,-0.043601,-0.010621,0.126391,0.081033,-0.000108,9.938849,0.999959,0.001935,0.00289,0.008404
0.608333333,-0.003662,-0.00618,0.00824,0.049743,-0.006246,0.162818,-0.007068,-0.029449,9.975586,0.999958,0.00192,0.002864,0.008438
0.616666667,-0.005035,-0.001144,-0.000229,-0.01705,-0.025886,0.089631,0.051775,0.006773,9.902229,0.999959,0.001899,0.002859,0.008437
0.625,-0.002747,-0.008011,-0.001831,-0.004134,0.015273,0.20703,0.051604,-0.036735,10.019529,0.999959,0.001888,0.002825,0.008429
0.633333333,-0.00618,-0.002975,0.005264,0.002201,0.013476,0.111673,0.04464,-0.037106,9.9242,0.999959,0.001862,0.002813,0.008451
0.641666667,-0.006409,-0.005264,0.006409,0.020473,-0.00759,0.155599,0.022191,-0.022239,9.968261,0.999958,0.001835,0.002791,0.008478
0.65,-0.003204,-0.008469,0.004349,0.002698,-0.017461,0.096923,0.037314,-0.008029,9.909552,0.999958,0.001822,0.002755,0.008497
0.658333333,-0.003662,-0.000687,0.012817,0.032025,0.003812,0.170249,0.014675,-0.036774,9.98291,0.999958,0.001806,0.002753,0.008549
0.666666667,0.003891,0.008011,0.005264,0.016679,-0.021606,0.140801,0.02164,-0.007507,9.9535,0.999958,0.001822,0.002786,0.00857
0.675,0.007324,-0.00618,0.002747,0.029953,-0.002087,0.104313,0.014903,-0.028994,9.916993,0.999958,0.001853,0.002761,0.008582
0.683333333,-0.006866,-0.015793,0.007324,0.010586,-0.020783,0.111534,0.030407,-0.007037,9.9242,0.999958,0.001825,0.002695,0.008612
0.691666667,-0.009155,0.004807,0.011902,-0.00024,-0.033269,0.133616,0.036422,0.006943,9.94629,0.999957,0.001786,0.002715,0.00866
0.7,0.006866,-0.009613,0.005264,0.01271,0.01028,0.089665,0.036559,-0.03714,9.902229,0.999957,0.001815,0.002675,0.00868
0.708333333,0.002975,-0.005493,0.002747,0.019136,-0.022502,0.126261,0.0222,-0.007201,9.938964,0.999957,0.001827,0.002652,0.008689
0.716666667,-0.001831,0.003891,0.002747,0.022818,0.02182,0.104431,0.029479,-0.051231,9.916992,0.999957,0.001819,0.002669,0.008699
0.725,0.001144,0.001831,0.001831,0.031642,-0.003286,0.162902,0.014572,-0.029249,9.975586,0.999957,0.001824,0.002676,0.008706
0.733333333,0.00206,-0.001144,-0.007324,0.019077,-0.022403,0.140909,0.021791,-0.007238,9.953613,0.999957,0.001833,0.002672,0.008675
0.741666667,-0.004578,-0.007095,-0.003662,-0.012046,0.000789,0.170412,0.058889,-0.022162,9.982908,0.999957,0.001814,0.002642,0.008658
0.75,-0.003204,0.004349,-0.001144,0.018165,-0.022142,0.060232,0.022366,-0.007914,9.872933,0.999957,0.001801,0.00266,0.008653
0.758333333,-0.000687,0.004578,-0.003662,0.01517,-0.006789,0.104359,0.029108,-0.022001,9.916993,0.999957,0.001798,0.002679,0.008637
0.766666667,0.001602,0.000229,-0.005493,-0.002214,-0.017052,0.133685,0.043478,-0.007371,9.946289,0.999958,0.001805,0.00268,0.008612
0.775,-0.007324,0.001144,0.003662,0.027393,-0.018372,0.17019,0.014601,-0.014953,9.98291,0.999958,0.001774,0.002684,0.008627
0.783333333,0.00412,-0.001602,0.00618,-0.016536,-0.012855,0.140964,0.058546,-0.007842,9.953499,0.999957,0.001791,0.002678,0.008653
0.791666667,-0.019226,-0.000687,0.001831,0.011571,0.007588,0.10443,0.036649,-0.037416,9.916989,0.999957,0.001711,0.002674,0.008658
0.8,-0.004807,-0.006638,-0.000229,0.013766,-0.014435,0.111551,0.029571,-0.016564,9.924201,0.999958,0.001691,0.002647,0.008656
0.808333333,0.000916,0.000229,-0.007324,0.024542,-0.004111,0.192232,0.021964,-0.029258,10.004883,0.999958,0.001695,0.002647,0.008626
0.816666667,-0.011673,0.000458,0.005264,0.031508,-0.007081,0.214169,0.014514,-0.029785,10.026854,0.999958,0.001646,0.002649,0.008649
0.825,0.002975,-0.000916,0.003662,-0.002728,-0.020105,0.155653,0.043983,-0.007201,9.968262,0.999958,0.001659,0.002645,0.008664
0.833333333,-0.001602,-0.002975,0.005493,0.013475,-0.017164,0.14828,0.02942,-0.014601,9.960937,0.999957,0.001652,0.002633,0.008686
0.841666667,-0.000687,0.002747,0.004578,0.025617,-0.028107,0.184812,0.014534,-0.007353,9.997559,0.999957,0.001649,0.002645,0.008704
0.85,-0.006866,-0.005264,0.00618,-0.020222,-0.0312,0.155679,0.058584,0.006923,9.968261,0.999957,0.00162,0.002622,0.008727
0.858333333,-0.000916,-0.003433,0.015564,0.011727,-0.024787,0.111637,0.029438,-0.007364,9.924316,0.999957,0.001616,0.002608,0.008791
0.866666667,-0.00206,-0.000229,-0.001144,0.011481,-0.024756,0.1042,0.029535,-0.007524,9.916878,0.999957,0.001608,0.002607,0.008786
0.875,-0.011902,0.002975,0.000916,0.006088,-0.016881,0.119015,0.036498,-0.015141,9.93164,0.999957,0.001558,0.002619,0.008789
0.883333333,-0.000458,-0.008926,-0.004807,0.00239,-0.007366,0.155579,0.043973,-0.023021,9.968146,0.999957,0.001557,0.002582,0.008767
