accx,accy,accz,vx,vy,vz,px,py,pz
-0.008533325,-0.010205301,-0.00245997,7.23296E-05,4.92684E-06,0.000178109,0.582217807,0.229702426,0.001351162
-0.00826001,-0.009451747,-0.002710761,5.55138E-05,-1.47495E-05,0.000172917,0.582217934,0.229702416,0.001351514
-0.007943745,-0.008662862,-0.00292013,3.92895E-05,-3.28801E-05,0.000167266,0.582218029,0.229702367,0.001351854
-0.007588343,-0.007844976,-0.00308972,2.37389E-05,-4.94009E-05,0.000161237,0.582218091,0.229702284,0.001352183
-0.007197652,-0.007004287,-0.00322149,8.93618E-06,-6.426E-05,0.000154907,0.582218124,0.22970217,0.001352499
-0.006775529,-0.006146838,-0.003317689,-5.05176E-06,-7.74181E-05,0.000148351,0.582218127,0.229702027,0.001352802
-0.006325819,-0.005278501,-0.003380828,-1.81659E-05,-8.88474E-05,0.000141636,0.582218103,0.22970186,0.001353092
-0.005852334,-0.004404964,-0.00341365,-3.0355E-05,-9.85321E-05,0.000134827,0.582218054,0.229701672,0.001353369
-0.005358837,-0.003531702,-0.003419097,-4.15753E-05,-0.000106467,0.000127982,0.582217982,0.229701466,0.001353632
-0.004849034,-0.002663964,-0.003400271,-5.17904E-05,-0.000112659,0.000121151,0.582217888,0.229701246,0.001353881
-0.004326561,-0.00180675,-0.003360403,-6.09714E-05,-0.000117123,0.000114381,0.582217775,0.229701015,0.001354116
-0.003794988,-0.000964799,-0.003302812,-6.90966E-05,-0.000119886,0.000107709,0.582217644,0.229700777,0.001354338
-0.003257812,-0.000142586,-0.003230867,-7.61514E-05,-0.000120982,0.000101169,0.582217498,0.229700536,0.001354547
-0.002718451,0.000655682,-0.003147946,-8.21279E-05,-0.000120456,9.47859E-05,0.58221734,0.229700293,0.001354743
-0.002180242,0.001426057,-0.003057391,-8.70252E-05,-0.00011836,8.85776E-05,0.58221717,0.229700054,0.001354926
-0.001646425,0.002164857,-0.00296246,-9.08488E-05,-0.000114752,8.25564E-05,0.582216992,0.22969982,0.001355097
-0.001120134,0.002868659,-0.002866286,-9.36109E-05,-0.0001097,7.67278E-05,0.582216807,0.229699595,0.001355257
-0.000604377,0.00353431,-0.002771835,-9.53294E-05,-0.000103277,7.10912E-05,0.582216617,0.229699381,0.001355404
-0.000102019,0.004158938,-0.002681878,-9.60284E-05,-9.55629E-05,6.56404E-05,0.582216425,0.229699182,0.001355541
0.000384235,0.00473996,-0.002598959,-9.57375E-05,-8.66416E-05,6.03637E-05,0.582216233,0.229698999,0.001355667
0.00085186,0.005275097,-0.002525371,-9.44914E-05,-7.66031E-05,5.52446E-05,0.582216042,0.229698835,0.001355782
0.001298523,0.005762374,-0.002463132,-9.233E-05,-6.55412E-05,5.02622E-05,0.582215855,0.229698692,0.001355888
0.001722099,0.006200126,-0.002413958,-8.92973E-05,-5.35536E-05,4.53921E-05,0.582215673,0.229698573,0.001355983
0.002120679,0.006586991,-0.002379236,-8.54416E-05,-4.07407E-05,4.06064E-05,0.582215498,0.229698478,0.001356069
0.002492577,0.006921918,-0.002360001,-8.08146E-05,-2.72056E-05,3.58751E-05,0.582215331,0.22969841,0.001356146
0.002836332,0.007204155,-0.002356906,-7.54713E-05,-1.3053E-05,3.11664E-05,0.582215175,0.229698369,0.001356213
0.003150702,0.007433247,-0.002370205,-6.94693E-05,1.61101E-06,2.64475E-05,0.582215029,0.229698358,0.00135627
0.003434665,0.007609022,-0.002399729,-6.28685E-05,1.66799E-05,2.16856E-05,0.582214897,0.229698376,0.001356319
0.003687406,0.007731576,-0.002444885,-5.57306E-05,3.20471E-05,1.68486E-05,0.582214778,0.229698424,0.001356357
0.003908311,0.007801251,-0.002504654,-4.81189E-05,4.76063E-05,1.1906E-05,0.582214674,0.229698504,0.001356386
0.004096957,0.007818619,-0.002577605,-4.00974E-05,6.32521E-05,6.82995E-06,0.582214585,0.229698615,0.001356405
0.0042531,0.007784459,-0.002661918,-3.1731E-05,7.88807E-05,1.59561E-06,0.582214513,0.229698757,0.001356413
0.004376657,0.007699747,-0.002755406,-2.3085E-05,9.43899E-05,-3.81772E-06,0.582214458,0.22969893,0.001356411
0.004467698,0.007565648,-0.002855558,-1.42244E-05,0.00010968,-9.42602E-06,0.582214421,0.229699135,0.001356398
0.004526427,0.007383508,-0.002959573,-5.2142E-06,0.000124653,-1.52399E-05,0.582214402,0.229699369,0.001356374
0.004553175,0.007154861,-0.003064406,3.88129E-06,0.000139214,-2.12643E-05,0.5822144,0.229699633,0.001356337
0.004548385,0.00688143,-0.003166825,1.29985E-05,0.000153272,-2.74976E-05,0.582214417,0.229699926,0.001356288
0.004512604,0.00656513,-0.003263468,2.20748E-05,0.000166739,-3.39316E-05,0.582214452,0.229700246,0.001356227
0.004446475,0.006208069,-0.003350907,3.10489E-05,0.000179532,-4.05514E-05,0.582214505,0.229700593,0.001356153
0.004350722,0.00581255,-0.003425717,3.98607E-05,0.000191572,-4.73352E-05,0.582214576,0.229700964,0.001356065
0.004226142,0.00538106,-0.003484545,4.84518E-05,0.000202783,-5.42543E-05,0.582214665,0.229701359,0.001355963
0.004073596,0.004916271,-0.00352419,5.67653E-05,0.000213096,-6.12734E-05,0.58221477,0.229701776,0.001355848
0.003894007,0.004421031,-0.003541667,6.47462E-05,0.000222448,-6.83511E-05,0.582214892,0.229702212,0.001355718
0.003688357,0.003898351,-0.003534285,7.23413E-05,0.00023078,-7.54401E-05,0.582215029,0.229702665,0.001355575
0.003457685,0.003351395,-0.003499706,7.94996E-05,0.000238041,-8.24882E-05,0.582215181,0.229703135,0.001355417
0.003203092,0.002783465,-0.003436011,8.61721E-05,0.000244186,-8.94389E-05,0.582215347,0.229703618,0.001355245
0.002925746,0.002197979,-0.003341746,9.2312E-05,0.000249175,-9.62323E-05,0.582215526,0.229704111,0.001355059
0.002626886,0.001598447,-0.003215965,9.78751E-05,0.000252978,-0.000102806,0.582215716,0.229704614,0.00135486
0.002307837,0.000988446,-0.003058259,0.00010282,0.000255569,-0.000109096,0.582215917,0.229705123,0.001354648
0.001970012,0.000371591,-0.002868774,0.000107106,0.000256931,-0.000115039,0.582216128,0.229705637,0.001354423
0.001614929,-0.000248487,-0.002648214,0.0001107,0.000257055,-0.000120571,0.582216346,0.229706151,0.001354187
0.001244215,-0.000868173,-0.002397833,0.000113566,0.000255937,-0.000125632,0.582216571,0.229706665,0.001353941
0.000859619,-0.00148389,-0.002119414,0.000115676,0.000253583,-0.000130163,0.5822168,0.229707175,0.001353685
0.000463013,-0.002092125,-0.001815236,0.000117005,0.000250002,-0.000134109,0.582217033,0.229707679,0.00135342
5.63949E-05,-0.002689446,-0.001488034,0.000117528,0.000245214,-0.000137423,0.582217268,0.229708175,0.001353148
-0.000358113,-0.003272519,-0.001140942,0.00011723,0.000239244,-0.000140062,0.582217503,0.22970866,0.001352871
-0.00077827,-0.003838112,-0.000777441,0.000116096,0.000232124,-0.000141987,0.582217737,0.229709132,0.001352588
-0.001201729,-0.004383104,-0.00040129,0.000114117,0.000223892,-0.000143171,0.582217968,0.229709588,0.001352303
-0.001626053,-0.004904486,-1.64629E-05,0.000111289,0.000214592,-0.000143592,0.582218194,0.229710027,0.001352016
-0.002048728,-0.00539937,0.00037291,0.000107613,0.000204274,-0.000143237,0.582218413,0.229710447,0.001351728
-0.002467182,-0.005865007,0.0007626,0.000103094,0.000192994,-0.000142101,0.582218624,0.229710845,0.001351443
-0.002878802,-0.006298813,0.001148339,9.77441E-05,0.000180814,-0.000140187,0.582218825,0.229711219,0.00135116
-0.00328094,-0.006698401,0.001525865,9.1579E-05,0.000167799,-0.000137507,0.582219015,0.229711568,0.001350882
