SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
7.59,0.374767,8.287965,5.169593,0.211244,-0.793173,-0.071976,0.853537,0.516895,-0.03884,-0.052775
7.6,0.341214,8.462799,5.294026,0.16887,-0.911243,0.132295,0.851435,0.520339,-0.039072,-0.05271
7.61,0.383487,8.673538,5.092954,0.218549,-0.748245,0.222602,0.84885,0.524563,-0.039312,-0.05236
7.62,0.453483,8.826273,4.677163,0.303757,-0.421739,0.172979,0.846072,0.52906,-0.039647,-0.051819
7.63,0.611868,9.010862,4.369603,0.466939,-0.171477,0.208049,0.843427,0.533265,-0.040251,-0.051371
7.64,0.590613,9.17231,4.099686,0.449123,0.067683,0.241199,0.841206,0.536726,-0.041023,-0.051141
7.65,0.495083,9.00907,4.185132,0.335955,-0.129035,0.126824,0.839413,0.539464,-0.041768,-0.05118
7.66,0.355801,8.73576,4.372995,0.175287,-0.462744,-0.049593,0.837699,0.542055,-0.042384,-0.051392
7.67,0.377122,8.591725,4.625571,0.17187,-0.830391,-0.084567,0.835665,0.545127,-0.042904,-0.051574
7.68,0.360192,8.797788,4.54966,0.156041,-0.77566,0.066763,0.833168,0.548909,-0.043283,-0.051548
7.69,0.354303,9.13045,3.884101,0.190018,-0.127274,0.113232,0.830616,0.552788,-0.043474,-0.051116
7.7,0.349412,9.302748,3.431142,0.207827,0.289721,0.102369,0.828531,0.555973,-0.043492,-0.050382
7.71,0.562808,9.381187,3.093193,0.430436,0.590683,0.054273,0.827325,0.557838,-0.043576,-0.049518
7.72,0.384092,9.388248,3.286168,0.226738,0.438136,0.129256,0.827163,0.558128,-0.043794,-0.048754
7.73,0.389284,9.062201,3.596853,0.19811,0.062592,-0.057219,0.827765,0.557269,-0.044086,-0.048092
7.74,0.292926,8.61309,4.032641,0.060868,-0.477056,-0.309952,0.828488,0.556219,-0.044415,-0.04749
7.75,0.487741,8.318271,4.477791,0.212659,-1.014289,-0.410128,0.828675,0.55595,-0.044876,-0.046939
7.76,0.538452,8.287983,4.554549,0.239246,-1.137128,-0.411935,0.827997,0.556966,-0.045524,-0.046231
7.77,0.615033,8.31392,4.522132,0.295683,-1.181054,-0.407021,0.826202,0.559636,-0.046292,-0.045335
7.78,0.630605,8.493788,4.319757,0.300627,-1.042948,-0.324619,0.823325,0.563863,-0.047144,-0.044395
7.79,0.60305,8.70285,3.847524,0.280892,-0.671494,-0.306086,0.819465,0.569447,-0.048041,-0.043583
7.8,0.730905,9.027592,3.814784,0.390956,-0.706781,-0.018316,0.814847,0.57601,-0.04887,-0.043009
7.81,0.590188,8.953905,3.77253,0.243501,-0.866311,-0.120404,0.809604,0.583291,-0.049685,-0.042946
7.82,0.590556,9.287069,3.462705,0.254179,-0.666509,0.090687,0.803915,0.591006,-0.050538,-0.043344
7.83,0.474011,9.797251,2.823759,0.17217,-0.099584,0.392292,0.798115,0.598715,-0.051286,-0.043841
7.84,0.362873,10.349683,2.427702,0.075928,0.253773,0.820663,0.792669,0.60583,-0.051944,-0.044134
7.85,0.558533,10.922317,1.444374,0.32304,1.211643,1.14728,0.788538,0.611149,-0.052529,-0.044106
7.86,0.495881,11.22207,1.109154,0.271994,1.575497,1.361135,0.786461,0.613791,-0.052973,-0.043972
7.87,0.554821,11.022611,0.865946,0.34609,1.801703,1.104717,0.786558,0.613651,-0.053254,-0.043854
7.88,0.556201,10.334748,1.682426,0.303082,0.92929,0.627198,0.788256,0.611467,-0.053214,-0.043922
7.89,0.693764,9.433393,3.105054,0.364277,-0.607021,0.117571,0.790319,0.6088,-0.052846,-0.044335
7.9,0.68327,8.915796,3.948881,0.31563,-1.527635,-0.162894,0.791545,0.607204,-0.052331,-0.044965
7.91,0.571336,8.458882,4.142705,0.210603,-1.864026,-0.56487,0.791119,0.607767,-0.05171,-0.045567
7.92,0.466778,8.363021,3.589561,0.159798,-1.439483,-0.815748,0.788921,0.610643,-0.051065,-0.045951
7.93,0.546128,8.592236,3.008483,0.287071,-0.950938,-0.746922,0.78538,0.615218,-0.050541,-0.046151
7.94,0.424653,8.941797,2.587648,0.200789,-0.591418,-0.515349,0.781122,0.620638,-0.050119,-0.046311
7.95,0.461326,9.132029,2.239773,0.270082,-0.349123,-0.409123,0.776686,0.626176,-0.049818,-0.046699
7.96,0.416903,9.231592,2.071659,0.249094,-0.294199,-0.350248,0.772244,0.631623,-0.049546,-0.047294
7.97,0.364874,9.239739,2.113215,0.207538,-0.46409,-0.341066,0.767731,0.637044,-0.049403,-0.048195
7.98,0.300807,9.281827,2.171656,0.148942,-0.65369,-0.299133,0.762957,0.642683,-0.049411,-0.049135
7.99,0.090027,9.791547,1.891337,-0.033999,-0.423028,0.151136,0.758236,0.648176,-0.04951,-0.049942
8,0.145847,10.130763,0.840363,0.101118,0.562229,0.337801,0.754553,0.65241,-0.04967,-0.05043
8.01,0.105933,10.281932,0.172988,0.106525,1.21718,0.39839,0.752714,0.654502,-0.049908,-0.050564
8.02,0.253614,10.339238,0.072518,0.251983,1.359485,0.437079,0.75308,0.654058,-0.050305,-0.050478
8.03,0.227914,10.084263,1.069105,0.139661,0.438209,0.320198,0.755275,0.651505,-0.050778,-0.050231
8.04,0.222045,9.512775,1.874984,0.062056,-0.337543,-0.12046,0.758328,0.647939,-0.051242,-0.04989
8.05,0.249359,8.782199,2.391977,0.040046,-0.900021,-0.751855,0.760909,0.644921,-0.051593,-0.049312
8.06,0.385271,8.515369,2.901198,0.125161,-1.443856,-0.925819,0.762055,0.643605,-0.051895,-0.048496
8.07,0.454377,8.768133,3.067501,0.163119,-1.606542,-0.653618,0.761576,0.644203,-0.052342,-0.047588
8.08,0.490187,9.240591,2.460286,0.218722,-0.997545,-0.292254,0.759979,0.646115,-0.052905,-0.046558
8.09,0.471248,9.69923,1.658547,0.231851,-0.200607,0.033813,0.757979,0.648466,-0.053619,-0.045661
8.1,0.477565,9.915392,1.172089,0.252294,0.253418,0.17674,0.756041,0.650697,-0.054447,-0.045072
8.11,0.434996,10.079766,1.130269,0.201106,0.285261,0.333564,0.754596,0.652317,-0.055202,-0.044936
8.12,0.367309,10.097023,1.100151,0.134133,0.295143,0.345557,0.753512,0.653503,-0.055784,-0.045181
8.13,0.422057,9.974287,1.445598,0.167094,-0.100124,0.27276,0.752425,0.6547,-0.056102,-0.045569
8.14,0.320284,10.061721,1.592372,0.057226,-0.266287,0.375646,0.751182,0.656093,-0.056207,-0.045919
8.15,0.314674,10.156341,1.124889,0.086843,0.183866,0.408576,0.75023,0.657161,-0.056291,-0.046099
8.16,0.403651,10.272243,0.939305,0.184162,0.389666,0.501305,0.750208,0.657173,-0.056455,-0.046097
8.17,0.4205,10.313494,0.660079,0.215337,0.733334,0.502176,0.751543,0.655617,-0.056806,-0.046063
8.18,0.458325,10.060548,0.968872,0.223628,0.496027,0.290122,0.754254,0.652456,-0.057313,-0.04602
8.19,0.478809,9.595269,1.764633,0.178898,-0.243594,-0.049484,0.757709,0.64839,-0.057882,-0.046004
8.2,0.476659,9.166904,2.547779,0.114086,-0.990566,-0.338749,0.760941,0.644547,-0.058377,-0.04605
8.21,0.598558,8.772624,3.081384,0.191183,-1.546311,-0.6266,0.763053,0.642012,-0.058792,-0.045977
8.22,0.577638,8.731208,3.278594,0.147444,-1.751465,-0.635136,0.763615,0.641338,-0.05908,-0.045684
8.23,0.572331,9.080642,2.900979,0.158396,-1.366505,-0.362353,0.762747,0.642393,-0.059249,-0.045151
8.24,0.588333,9.552789,2.50017,0.188021,-0.961664,0.030704,0.760994,0.644511,-0.059325,-0.044431
8.25,0.636383,9.984467,2.063257,0.252424,-0.525965,0.385888,0.759139,0.64675,-0.059318,-0.043641
8.26,0.599938,10.245069,1.576759,0.242718,-0.039798,0.567432,0.757765,0.648399,-0.059303,-0.043061
8.27,0.613913,10.322177,1.391728,0.270533,0.147166,0.616419,0.757184,0.649111,-0.059151,-0.042757
8.28,0.589981,10.265787,1.656814,0.233828,-0.102587,0.599531,0.75738,0.648917,-0.058837,-0.042663
8.29,0.572503,9.976933,1.851865,0.216143,-0.311943,0.343705,0.758008,0.648225,-0.05839,-0.042647
8.3,0.587952,9.660411,2.016246,0.235248,-0.50861,0.057491,0.758575,0.647621,-0.057782,-0.042572
8.31,0.574148,9.785989,2.048629,0.222711,-0.510423,0.18641,0.758983,0.647222,-0.05711,-0.042276
8.32,0.541781,9.849257,1.80482,0.209198,-0.231672,0.210351,0.759706,0.646467,-0.056438,-0.041732
8.33,0.498968,9.74132,1.510215,0.188652,0.091715,0.055388,0.761008,0.64503,-0.055837,-0.041046
8.34,0.51483,9.718392,1.469892,0.206262,0.197795,0.025545,0.76301,0.642734,-0.055407,-0.040481
8.35,0.464499,9.544605,1.975544,0.121375,-0.238729,-0.058417,0.765598,0.639699,-0.055173,-0.040003
8.36,0.381951,9.182071,2.399508,0.014281,-0.635869,-0.33593,0.768252,0.636549,-0.055033,-0.039562
8.37,0.43137,9.008219,2.739373,0.039133,-0.951225,-0.435503,0.770359,0.634041,-0.054927,-0.039013
8.38,0.54036,8.91855,2.828263,0.137989,-1.045953,-0.500413,0.771443,0.632769,-0.054843,-0.03837
8.39,0.565996,9.152036,2.696618,0.157398,-0.888408,-0.297551,0.771463,0.632793,-0.054827,-0.037588
8.4,0.595296,9.493698,2.337982,0.192956,-0.507342,-0.032291,0.77072,0.633746,-0.054797,-0.036801
8.41,0.648994,9.700668,2.10817,0.252684,-0.281688,0.128401,0.769707,0.635017,-0.054694,-0.03624
8.42,0.566634,9.83554,1.902517,0.182047,-0.075638,0.21924,0.768829,0.636104,-0.054556,-0.036032
8.43,0.562532,9.766767,1.855689,0.189659,-0.053995,0.142755,0.768283,0.636762,-0.054433,-0.036231
8.44,0.489092,9.608343,2.198404,0.110646,-0.422006,0.046425,0.767954,0.637154,-0.054185,-0.036681
