Time (s),X,Y,Radius
1.6333333333333333,1753,901,39
1.6333333333333333,932,35,13
1.6333333333333333,649,889,43
1.6333333333333333,1501,899,32
1.6333333333333333,321,851,24
1.6333333333333333,987,34,12
1.6333333333333333,1333,889,31
1.6333333333333333,1477,851,25
1.6333333333333333,1207,875,25
1.6333333333333333,859,877,25
1.6333333333333333,1603,851,24
1.6333333333333333,1651,883,21
1.6333333333333333,19,899,27
1.65,959,290,47
1.65,211,863,49
1.65,913,877,49
1.65,962,531,16
1.65,973,883,49
1.65,259,889,49
1.65,745,883,49
1.65,1825,889,48
1.65,1057,869,49
1.65,1401,857,47
1.65,697,857,44
1.65,805,889,45
1.65,121,853,39
1.65,415,883,48
1.65,1111,881,39
1.65,1267,863,37
1.65,1753,901,39
1.65,932,35,13
1.65,649,889,43
1.65,1501,899,32
1.65,321,851,24
1.65,987,34,12
1.65,1333,889,31
1.65,1477,851,25
1.65,1207,875,25
1.65,859,877,25
1.65,1603,851,24
1.65,1651,883,21
1.65,19,899,27
1.6666666666666667,959,290,47
1.6666666666666667,211,863,49
1.6666666666666667,115,883,49
1.6666666666666667,913,877,49
1.6666666666666667,962,531,16
1.6666666666666667,973,883,49
1.6666666666666667,745,883,49
1.6666666666666667,1401,857,47
1.6666666666666667,1045,883,49
1.6666666666666667,1780,895,37
1.6666666666666667,697,857,44
1.6666666666666667,805,889,45
1.6666666666666667,415,883,48
1.6666666666666667,1111,881,39
1.6666666666666667,1267,863,37
1.6666666666666667,283,857,29
1.6666666666666667,932,35,13
1.6666666666666667,1855,899,32
1.6666666666666667,649,889,40
1.6666666666666667,1501,899,32
1.6666666666666667,1333,889,31
1.6666666666666667,987,34,12
1.6666666666666667,1477,851,25
1.6666666666666667,1207,875,25
1.6666666666666667,859,877,25
1.6666666666666667,1603,851,24
1.6666666666666667,1717,871,27
1.6666666666666667,1651,883,21
1.6666666666666667,19,899,27
1.6666666666666667,361,851,23
1.6833333333333333,959,290,47
1.6833333333333333,211,863,49
1.6833333333333333,115,883,49
1.6833333333333333,962,531,16
1.6833333333333333,913,869,49
1.6833333333333333,973,883,49
1.6833333333333333,799,895,44
1.6833333333333333,745,883,49
1.6833333333333333,1825,889,48
1.6833333333333333,1401,857,47
1.6833333333333333,1057,869,49
1.6833333333333333,1237,857,44
1.6833333333333333,415,883,48
1.6833333333333333,1111,881,39
1.6833333333333333,1309,899,32
1.6833333333333333,1753,901,39
1.6833333333333333,283,857,29
1.6833333333333333,932,35,13
1.6833333333333333,679,883,40
1.6833333333333333,987,34,12
1.6833333333333333,1501,899,32
1.6833333333333333,1477,851,25
1.6833333333333333,121,947,41
1.6833333333333333,1603,851,24
1.6833333333333333,1651,883,21
1.6833333333333333,19,899,27
1.6833333333333333,361,851,23
1.7,959,290,47
1.7,211,863,49
1.7,913,869,49
1.7,973,883,49
1.7,133,857,48
1.7,799,889,49
1.7,1648,883,49
1.7,739,883,48
1.7,1268,857,44
1.7,469,883,48
1.7,637,863,49
1.7,1177,893,41
1.7,962,530,15
1.7,859,875,48
1.7,1708,853,41
1.7,1309,899,32
1.7,932,35,13
1.7,517,853,35
1.7,1849,901,33
1.7,265,841,32
1.7,987,37,13
1.7,1555,835,28
1.7,1027,863,29
1.7,1477,913,27
1.7,361,889,29
1.7,1603,851,25
1.7166666666666666,959,290,47
1.7166666666666666,175,857,48
1.7166666666666666,913,869,49
1.7166666666666666,1219,857,47
1.7166666666666666,1813,889,47
1.7166666666666666,805,889,49
1.7166666666666666,1087,889,47
1.7166666666666666,469,883,48
1.7166666666666666,415,883,49
1.7166666666666666,962,531,16
1.7166666666666666,1711,887,45
1.7166666666666666,229,895,44
1.7166666666666666,55,883,48
1.7166666666666666,997,883,36
1.7166666666666666,121,899,32
1.7166666666666666,1315,857,29
1.7166666666666666,932,35,13
1.7166666666666666,1894,901,35
1.7166666666666666,949,913,27
1.7166666666666666,987,34,12
1.7166666666666666,121,841,27
1.7166666666666666,542,835,21
1.7166666666666666,1531,851,24
1.7166666666666666,1585,863,24
1.7333333333333334,958,291,47
1.7333333333333334,211,863,49
1.7333333333333334,913,869,49
1.7333333333333334,1219,857,47
1.7333333333333334,133,857,48
1.7333333333333334,1519,883,49
1.7333333333333334,805,889,49
1.7333333333333334,1099,883,48
1.7333333333333334,1177,893,41
1.7333333333333334,962,530,15
1.7333333333333334,469,883,48
1.7333333333333334,1340,863,49
1.7333333333333334,1711,887,45
1.7333333333333334,415,889,43
1.7333333333333334,55,883,48
1.7333333333333334,1141,853,33
1.7333333333333334,1795,893,37
1.7333333333333334,679,889,41
1.7333333333333334,985,857,29
1.7333333333333334,932,35,13
1.7333333333333334,271,887,27
1.7333333333333334,987,34,12
1.7333333333333334,619,863,28
1.7333333333333334,1585,863,28
1.7333333333333334,373,853,21
1.75,959,290,47
1.75,175,853,48
1.75,913,869,49
1.75,1219,857,47
1.75,1519,883,49
1.75,805,889,49
1.75,1099,883,48
1.75,962,530,15
1.75,469,883,48
1.75,1340,863,49
1.75,415,889,43
1.75,1141,853,33
1.75,55,883,48
1.75,1795,893,37
1.75,679,889,41
1.75,985,857,29
1.75,932,35,13
1.75,121,899,32
1.75,121,841,27
1.75,271,887,27
1.75,987,34,12
1.75,619,863,28
1.75,1585,863,28
1.75,1717,875,27
1.7666666666666666,958,291,47
1.7666666666666666,913,869,49
1.7666666666666666,211,863,49
1.7666666666666666,1105,883,48
1.7666666666666666,1219,857,47
1.7666666666666666,973,883,49
1.7666666666666666,1519,883,49
1.7666666666666666,805,889,49
1.7666666666666666,415,883,49
1.7666666666666666,469,883,48
1.7666666666666666,1357,869,48
1.7666666666666666,962,531,16
1.7666666666666666,55,883,48
1.7666666666666666,1795,893,37
1.7666666666666666,685,851,31
1.7666666666666666,1741,895,40
1.7666666666666666,932,35,13
1.7666666666666666,121,899,32
1.7666666666666666,1039,913,27
1.7666666666666666,271,887,27
1.7666666666666666,987,34,12
1.7666666666666666,1027,839,23
1.7666666666666666,1456,889,21
1.7666666666666666,643,913,27
1.7833333333333334,958,291,47
1.7833333333333334,913,869,49
1.7833333333333334,211,863,49
1.7833333333333334,1149,883,48
1.7833333333333334,1219,857,47
1.7833333333333334,973,883,49
1.7833333333333334,1519,883,49
1.7833333333333334,805,889,49
1.7833333333333334,415,883,49
1.7833333333333334,637,863,49
1.7833333333333334,469,883,48
1.7833333333333334,1357,869,48
1.7833333333333334,962,531,16
1.7833333333333334,55,883,48
1.7833333333333334,1795,893,37
1.7833333333333334,932,35,13
1.7833333333333334,1741,895,39
1.7833333333333334,121,899,32
